iter	RMSE
0	3695525.874
1	3558811.462
2	3436898.377
3	3333499.923
4	3229422.613
5	3138114.408
6	3059678.215
7	2984682.006
8	2920120.445
9	2861400.087
10	2812298.141
11	2767934.878
12	2723700.722
13	2689473.797
14	2656230.038
15	2626714.076
16	2600161.169
17	2577563.645
18	2557237.898
19	2539058.785
20	2522406.673
21	2503999.356
22	2489726.721
23	2474722.401
24	2460885.193
25	2449229.414
26	2438914.238
27	2430836.958
28	2422110.268
29	2413211.299
30	2403849.779
31	2397294.075
32	2391032.971
33	2381575.223
34	2376280.87
35	2369319.468
36	2364317.459
37	2357999.252
38	2352168.122
39	2347940.124
40	2343410.268
41	2340178.995
42	2337474.275
43	2331533.962
44	2327248.92
45	2323892.464
46	2321289.497
47	2318760.379
48	2316684.698
49	2312570.181
50	2309034.59
51	2306108.045
52	2304455.491
53	2302598.667
54	2301448.144
55	2299319.188
56	2297739.259
57	2294235.596
58	2292121.694
59	2290218.206
60	2287440.357
61	2284584.492
62	2283136.562
63	2281738.812
64	2280203.092
65	2276482.541
66	2273994.435
67	2271143.214
68	2270103.305
69	2269101.438
70	2267840.755
71	2267096.517
72	2265727.542
73	2263739.979
74	2262836.45
75	2261799.144
76	2261071.874
77	2260242.22
78	2257985.5
79	2257277.355
80	2256471.938
81	2255205.054
82	2252816.594
83	2251849.156
84	2250993.884
85	2249761.59
86	2248872.394
87	2248031.225
88	2246431.652
89	2245788.35
90	2244787.261
91	2244050.904
92	2242972.426
93	2241857.873
94	2241343.224
95	2240520.081
96	2239729.634
97	2238819.937
98	2238091.132
99	2237269.376
100	2236148.33
101	2235728.129
102	2235162.491
103	2234862.063
104	2234083.649
105	2233654.554
106	2232712.921
107	2232361.704
108	2231721.187
109	2230978.369
110	2230337.208
111	2229898.019
112	2228100.124
113	2226662.874
114	2226410.954
115	2225937.782
116	2225386.13
117	2224821.193
118	2223963.851
119	2223143.359
120	2222805.099
121	2222027.513
122	2221517.419
123	2220731.654
124	2220398.209
125	2220004.27
126	2219526.803
127	2219164.137
128	2218655.39
129	2218323.598
130	2217601.36
131	2216107.117
132	2215630.673
133	2215144.217
134	2214538.344
135	2214119.145
136	2213458.948
137	2212845.011
138	2212328.185
139	2212006.885
140	2211346.632
141	2209842.427
142	2209376.279
143	2208901.86
144	2207969.312
145	2207547.893
146	2206798.151
147	2206279.378
148	2205590.005
149	2204885.297
150	2204613.906
151	2204253.484
152	2203583.316
153	2202780.963
154	2202385.21
155	2201813.181
156	2200997.604
157	2200451.823
158	2199930.191
159	2199508.493
160	2199072.881
161	2198285.156
162	2197736.896
163	2197214.328
164	2196562.886
165	2196047.371
166	2195244.946
167	2194648.707
168	2193806.505
169	2193229.253
170	2192500.858
171	2192017.068
172	2191590.791
173	2191041.027
174	2190615.078
175	2190338.012
176	2189960.428
177	2189411.294
178	2188957.017
179	2188671.273
180	2188284.429
181	2187804.152
182	2187194.538
183	2186851.471
184	2186517.526
185	2186068.818
186	2185662.912
187	2185018.643
188	2184083.415
189	2183719.615
190	2183188.707
191	2182855.123
192	2182581.613
193	2182070.683
194	2181632.822
195	2181104.312
196	2180723.037
197	2180253.522
198	2179789.116
199	2179462.873
200	2179053.435
201	2178496.631
202	2177872.72
203	2177569.38
204	2177085.184
205	2176712.888
206	2176348.24
207	2175849.762
208	2175504.78
209	2174959.362
210	2174627.788
211	2174307.19
212	2173994.957
213	2173634.205
214	2172976.729
215	2172694.659
216	2172343.868
217	2171505.276
218	2171142.207
219	2170806.711
220	2170243.112
221	2169553.32
222	2169086.368
223	2168801.102
224	2168437.022
225	2167961.141
226	2167572.319
227	2167172.076
228	2166810.734
229	2166378.159
230	2165983.267
231	2165652.126
232	2165355.904
233	2164870.373
234	2164666.773
235	2164253.906
236	2163821.441
237	2163236.439
238	2162809.136
239	2162427.712
240	2162122.602
241	2161631.102
242	2160988.07
243	2160638.403
244	2160243.216
245	2159684.884
246	2159321.868
247	2158926.617
248	2158563.753
249	2158179.252
250	2157859.474
251	2157527.417
252	2157311.407
253	2157087.532
254	2156448.728
255	2155953.547
256	2155596.963
257	2155247.2
258	2154881.498
259	2154543.649
260	2154235.862
261	2153928.84
262	2153655.767
263	2153207.074
264	2152922.856
265	2152646.441
266	2152164.192
267	2151920.283
268	2151623.707
269	2151249.389
270	2150960.257
271	2150408.029
272	2150130.745
273	2149805.333
274	2149620.059
275	2149128.587
276	2148977.424
277	2148789.299
278	2148423.491
279	2148155.868
280	2147686.975
281	2147030.328
282	2146715.505
283	2146385.165
284	2146033.772
285	2145669.644
286	2145265.729
287	2144932.619
288	2144656.388
289	2144361.462
290	2143881.273
291	2143529.352
292	2143160.842
293	2143004.299
294	2142756.235
295	2142455.714
296	2142183.286
297	2141748.231
298	2141356.969
299	2141017.064
300	2140595.577
301	2140121.625
302	2139743.921
303	2139331.371
304	2138953.866
305	2138649.509
306	2138460.802
