iter	Passed	Remaining
0	66	66551
1	127	63823
2	185	61632
3	247	61713
4	305	60866
5	367	60934
6	425	60378
7	494	61273
8	556	61312
9	621	61497
10	687	61829
11	751	61883
12	811	61612
13	871	61367
14	927	60890
15	989	60826
16	1049	60673
17	1104	60234
18	1153	59581
19	1207	59148
20	1262	58836
21	1321	58746
22	1375	58417
23	1437	58478
24	1491	58164
25	1545	57884
26	1594	57449
27	1650	57296
28	1701	56964
29	1763	57021
30	1820	56896
31	1880	56882
32	1935	56709
33	2010	57116
34	2060	56823
35	2120	56779
36	2175	56610
37	2234	56566
38	2288	56379
39	2340	56168
40	2399	56115
41	2451	55920
42	2499	55628
43	2561	55645
44	2616	55531
45	2672	55425
46	2722	55200
47	2772	54984
48	2836	55057
49	2897	55054
50	2954	54972
51	3009	54872
52	3058	54655
53	3118	54633
54	3164	54379
55	3223	54333
56	3268	54080
57	3328	54052
58	3430	54707
59	3493	54729
60	3548	54630
61	3615	54700
62	3669	54574
63	3718	54384
64	3773	54283
65	3841	54359
66	3915	54518
67	3984	54609
68	4038	54486
69	4089	54332
70	4141	54188
71	4190	54017
72	4251	53991
73	4305	53876
74	4372	53927
75	4428	53844
76	4480	53711
77	4534	53598
78	4605	53696
79	4652	53507
80	4705	53391
81	4758	53272
82	4824	53303
83	4876	53179
84	4927	53042
85	4978	52911
86	5034	52835
87	5085	52705
88	5145	52670
89	5207	52658
90	5265	52595
91	5311	52426
92	5378	52459
93	5433	52374
94	5495	52353
95	5546	52227
96	5592	52059
97	5644	51951
98	5693	51816
99	5747	51726
100	5806	51681
101	5856	51563
102	5909	51464
103	5961	51358
104	6017	51292
105	6073	51224
106	6123	51104
107	6182	51059
108	6247	51067
109	6297	50956
110	6354	50891
111	6410	50825
112	6480	50868
113	6544	50864
114	6591	50727
115	6651	50685
116	6708	50625
117	6761	50537
118	6820	50491
119	6883	50477
120	6933	50369
121	6988	50290
122	7043	50219
123	7100	50164
124	7147	50032
125	7197	49926
126	7257	49885
127	7316	49845
128	7364	49724
129	7418	49648
130	7482	49634
131	7550	49651
132	7602	49556
133	7648	49432
134	7697	49323
135	7747	49217
136	7810	49199
137	7865	49127
138	7937	49167
139	8005	49179
140	8062	49116
141	8119	49061
142	8172	48979
143	8223	48882
144	8290	48883
145	8338	48776
146	8394	48708
147	8442	48601
148	8504	48571
149	8573	48581
150	8629	48517
151	8682	48441
152	8749	48436
153	8806	48378
154	8859	48301
155	8916	48242
156	8984	48243
157	9037	48163
158	9092	48091
159	9141	47990
160	9202	47955
161	9274	47977
162	9331	47918
