iter	RMSE
0	3684287.174
1	3529404.55
2	3390527.882
3	3267742.826
4	3159051.415
5	3059462.026
6	2971650.672
7	2893589.599
8	2824386.38
9	2764660.138
10	2709809.713
11	2660789.783
12	2618491.531
13	2581992.986
14	2545629.656
15	2515299.996
16	2488066.765
17	2465370.918
18	2445524.113
19	2424515.357
20	2407285.652
21	2392369.221
22	2378232.267
23	2364365.14
24	2352718.483
25	2342863.813
26	2332233.957
27	2322051.965
28	2313958.596
29	2307111.143
30	2299720.766
31	2293806.633
32	2288558.203
33	2283482.922
34	2277022.513
35	2272034.64
36	2267058.111
37	2262529.499
38	2259487.569
39	2256474.455
40	2252526.086
41	2249057.724
42	2246957.298
43	2243815.876
44	2240836.177
45	2237504.069
46	2235135.11
47	2232487.674
48	2230096.095
49	2228032.648
50	2224897.02
51	2223329.588
52	2221781.14
53	2220059.382
54	2218871.531
55	2217504.322
56	2215216.078
57	2213409.896
58	2211871.816
59	2210066.739
60	2207802.272
61	2205627.488
62	2203731.35
63	2202459.56
64	2201508.024
65	2200430.943
66	2198736.946
67	2196581.497
68	2195571.902
69	2194294.51
70	2192522.402
71	2191175.742
72	2189908.046
73	2188134.957
74	2186313.31
75	2184779.242
76	2182958.129
77	2181799.354
78	2180619.085
79	2179469.867
80	2177927.852
81	2176611.989
82	2175341.197
83	2174264.794
84	2172688.75
85	2171590.924
86	2170203.251
87	2169262.967
88	2167793.441
89	2166936.001
90	2166395.523
91	2165113.154
92	2164533.947
93	2163099.564
94	2162138.618
95	2161047.722
96	2160013.55
97	2159366.578
98	2158702.171
99	2158184.846
100	2156997.034
101	2156013.909
102	2154771.521
103	2153890.043
104	2153142.275
105	2152455.89
106	2151610.839
107	2150111.133
108	2149255.081
109	2148050.236
110	2147245.339
111	2146448.495
112	2145523.529
113	2144311.048
114	2143811.958
115	2143098.502
116	2141994.033
117	2141086.882
118	2140292.965
119	2138732.38
120	2137817.36
121	2136756.551
122	2136257.098
123	2135427.153
124	2134599.363
125	2133973.95
126	2132908.588
127	2131904.888
128	2130685.023
129	2129612.061
130	2128908.243
131	2128242.906
132	2127611.503
133	2126437.015
134	2125218.688
135	2124091.823
136	2123430.136
137	2122457.965
138	2121523.143
139	2120371.282
140	2119283.306
141	2118862.633
142	2118334.292
143	2117491.911
144	2116923.544
145	2116323.887
146	2115384.122
147	2114523.679
148	2113808.18
149	2112982.88
150	2112226.627
151	2111562.79
152	2110866.063
153	2109983.056
154	2109435.432
155	2108805.256
156	2108066.683
157	2107172.637
158	2106565.813
159	2105810.042
160	2104920.025
161	2103991.782
162	2103008.198
163	2101842.46
164	2100921.192
165	2100476.836
166	2099856.506
167	2099189.478
168	2098659.789
169	2098162.71
170	2097396.832
171	2096617.564
172	2096017.454
173	2095046.589
174	2094442.342
175	2093373.064
176	2092827.716
177	2091879.451
178	2091037.2
179	2090519.56
180	2090034.702
181	2089635.301
182	2089070.137
183	2088466.388
184	2087789.446
185	2086993.219
186	2086258.572
187	2085684.224
188	2085304.593
189	2084327.411
190	2083653.862
191	2083069.378
192	2082515.133
193	2081894.313
194	2081326.554
195	2080766.85
196	2080104.788
197	2079053.366
198	2078112.253
199	2077763.763
200	2077029.534
201	2075859.238
202	2074873.205
203	2074027.451
204	2073588.778
205	2072623.232
206	2072051.214
207	2071262.796
208	2070882.292
209	2070377.591
210	2069576.566
211	2068802.671
212	2068235.539
213	2067570.345
214	2066385.108
215	2065929.669
216	2065417.808
217	2065011.798
218	2064318.281
219	2063988.11
220	2063559.932
221	2062453.707
222	2062024.013
223	2061481.352
224	2060897.95
225	2060102.916
226	2059366.61
227	2058766.823
228	2058015.266
229	2057416.749
230	2056652.296
231	2055762.943
232	2055016.501
233	2054534.999
234	2054157.708
235	2053389.42
236	2052774.033
237	2052155.437
238	2051188.72
239	2050455.095
240	2050009.33
241	2049060.36
242	2048208.666
243	2047601.526
244	2046711.867
245	2045880.446
246	2045195.286
247	2044751.44
248	2044312.833
249	2043855.371
250	2043192.223
251	2042678.902
252	2042250.491
253	2041601.589
254	2040904.023
255	2040467.509
256	2040070.756
257	2039319.532
258	2038811.178
259	2038382.118
260	2037864.817
261	2037381.032
262	2036822.392
263	2036444.804
264	2035685.684
265	2034983.544
266	2034517.866
267	2033999.114
268	2033182.018
269	2032565.177
270	2032120.386
271	2031822.364
272	2031213.208
273	2030494.379
274	2029751.881
275	2029125.029
276	2028558.65
277	2027951.195
278	2027424.078
279	2026832.799
280	2026373.444
281	2025781.199
282	2025087.165
283	2024383.037
284	2023681.271
285	2023166.318
286	2022258.776
287	2021470.349
288	2020758.168
289	2020441.304
290	2019987.525
291	2019380.044
292	2018599.53
293	2018150.824
294	2017383.716
295	2016917.12
296	2016239.947
297	2015918.607
298	2015530.193
299	2015055.948
300	2014617.386
301	2014077.366
302	2013604.663
303	2013132.045
304	2012604.808
305	2012333.06
306	2011999.509
307	2011277.572
308	2010709.746
309	2010283.21
310	2009806.131
311	2009335.087
312	2008803.372
313	2007987.383
314	2007385.858
315	2006886.236
316	2006448.134
317	2005980.313
318	2005553.564
319	2005031.092
320	2004470.394
321	2003712.653
322	2002842.066
323	2002354.632
324	2001857.389
325	2001382.86
326	2000684.301
327	1999935.371
328	1999486.901
329	1998869.309
330	1998272.176
331	1997719.777
332	1997125.215
333	1996343.941
334	1995743.929
335	1995275.727
336	1994685.098
337	1993970.167
338	1993324.514
339	1992596.696
340	1991953.162
341	1991170.174
342	1990655.23
343	1990319.617
344	1989879.234
345	1989474.703
346	1989002.096
347	1988537.981
348	1987838.217
349	1987450.1
350	1986992.858
351	1986500.333
352	1985859.578
353	1985346.687
354	1984950.241
355	1984558.208
356	1984095.529
357	1983664.555
358	1983299.201
359	1982645.931
360	1982101.305
361	1981600.116
362	1981106.718
363	1980539.644
364	1980164.704
365	1979426.495
366	1978689.019
367	1978245.781
368	1977867.319
369	1977652.479
370	1977265.19
371	1976704.502
372	1976121.31
373	1975782.156
374	1975359.226
375	1974884.115
376	1974561.842
377	1974022.668
378	1973704.358
379	1973301.055
380	1972939.44
381	1972457.734
382	1972038.703
383	1971333.917
384	1970960.125
385	1970429.23
386	1970035.517
387	1969512.677
388	1968913.919
389	1968488.647
390	1967787.666
391	1967127.054
392	1966677.671
393	1965994.978
394	1965525.054
395	1965184.876
396	1964898.05
397	1964356.585
398	1963962.826
399	1963237.968
400	1963003.88
401	1962543.853
402	1962297.808
403	1961934.235
404	1961481.48
405	1960761.868
406	1960201.869
407	1959637.767
408	1959045.494
409	1958451.197
410	1957695.49
411	1957409.351
412	1956783.36
413	1956472.494
414	1956112.416
415	1955432.138
416	1955099.333
417	1954435.17
418	1953934.31
419	1953573.36
420	1953164.159
421	1952733.696
422	1952280.272
423	1951724.619
424	1951381.812
425	1950920.791
426	1950402.917
427	1949919.266
428	1949383.23
429	1948912.127
430	1948370.845
431	1948060.371
432	1947689.94
433	1947079.788
434	1946781.792
435	1946262.032
436	1945691.112
437	1945383.552
438	1945052.806
439	1944515.977
440	1944027.565
441	1943652.436
442	1943366.76
443	1942943.585
444	1942294.131
445	1941890.098
446	1941555.716
447	1941125.946
448	1940844.723
449	1940564.39
450	1940289.824
451	1939886.739
452	1939687.673
453	1939062.914
454	1938568.391
455	1938243.606
456	1937788.695
457	1937351.363
458	1936888.83
459	1936530.81
460	1936143.054
461	1935864.79
462	1935373.667
463	1934733.618
464	1934173.695
465	1933620.764
466	1933036.8
467	1932560.226
468	1932022.82
469	1931611.802
470	1931129.668
471	1930519.592
472	1930060.79
473	1929769.957
474	1929257.37
475	1928723.963
476	1928397.792
477	1928015.463
478	1927558.331
479	1926875.809
480	1926536.054
481	1926222.626
482	1925732.956
483	1925256.854
484	1924930.239
485	1924262.59
486	1923851.969
487	1923279.415
488	1922743.362
489	1922375.559
490	1921922.297
491	1921432.922
492	1921141.432
493	1920746.626
494	1920355.885
495	1919845.679
496	1919276.298
497	1918779.537
498	1918334.727
499	1917708.18
500	1917303.395
501	1916509.881
502	1916124.75
503	1915704.493
504	1915382.676
