iter	Passed	Remaining
0	104	104155
1	193	96631
2	283	94258
3	373	92950
4	462	92068
5	550	91127
6	646	91700
7	734	91066
8	821	90504
9	911	90284
10	999	89898
11	1090	89748
12	1180	89601
13	1270	89472
14	1371	90094
15	1479	91006
16	1568	90694
17	1656	90382
18	1744	90068
19	1832	89803
20	1922	89635
21	2014	89555
22	2101	89258
23	2189	89044
24	2280	88922
25	2368	88712
26	2457	88564
27	2545	88349
28	2629	88057
29	2716	87830
30	2805	87688
31	2894	87562
32	2987	87532
33	3078	87472
34	3170	87404
35	3261	87343
36	3354	87304
37	3447	87263
38	3537	87173
39	3629	87117
40	3721	87051
41	3811	86943
42	3906	86931
43	3997	86851
44	4090	86810
45	4183	86756
46	4269	86578
47	4356	86404
48	4447	86308
49	4533	86145
50	4622	86006
51	4711	85890
52	4797	85719
53	4884	85564
54	4974	85471
55	5062	85336
56	5148	85170
57	5238	85077
58	5324	84923
59	5413	84816
60	5504	84731
61	5591	84588
62	5678	84456
63	5768	84365
64	5856	84239
65	5942	84088
66	6034	84038
67	6121	83901
68	6207	83751
69	6298	83678
70	6386	83563
71	6474	83448
72	6563	83353
73	6651	83236
74	6736	83080
75	6826	82991
76	6916	82911
77	7006	82821
78	7096	82728
79	7182	82597
80	7270	82492
81	7363	82431
82	7451	82330
83	7540	82230
84	7631	82148
85	7718	82035
86	7806	81924
87	7896	81837
88	7981	81693
89	8069	81595
90	8160	81517
91	8248	81405
92	8334	81286
93	8426	81215
94	8511	81085
95	8597	80960
96	8685	80860
97	8771	80736
98	8857	80611
99	8945	80510
100	9033	80411
101	9122	80312
102	9212	80228
103	9297	80104
104	9386	80008
105	9474	79904
106	9561	79801
107	9650	79705
108	9739	79614
109	9828	79519
110	9915	79413
111	10004	79321
112	10090	79206
113	10175	79084
114	10266	79008
115	10353	78900
116	10443	78814
117	10535	78748
118	10623	78647
119	10710	78545
120	10801	78463
121	10887	78353
122	10976	78263
123	11067	78185
124	11156	78095
125	11247	78016
126	11336	77928
127	11425	77836
128	11514	77743
129	11604	77660
130	11693	77567
131	11782	77479
132	11870	77383
133	11962	77307
134	12054	77239
135	12148	77178
136	12236	77081
137	12321	76967
138	12410	76871
139	12496	76761
140	12585	76672
141	12675	76590
142	12764	76497
143	12858	76435
144	12950	76365
145	13041	76283
146	13131	76198
147	13223	76125
148	13312	76033
149	13402	75945
150	13492	75864
151	13582	75776
152	13675	75704
153	13763	75607
154	13853	75522
155	13940	75423
156	14029	75329
157	14117	75232
158	14211	75169
159	14302	75087
160	14395	75017
161	14489	74952
162	14575	74845
163	14671	74790
164	14761	74702
165	14854	74629
166	14943	74539
167	15031	74440
168	15120	74348
169	15205	74240
170	15291	74131
171	15382	74051
172	15469	73951
173	15560	73866
174	15654	73799
175	15746	73724
176	15837	73638
177	15925	73545
178	16014	73452
179	16101	73351
180	16190	73261
181	16278	73162
182	16363	73052
183	16451	72957
184	16533	72838
185	16616	72720
186	16705	72627
187	16789	72517
188	16879	72428
189	16965	72328
190	17051	72224
191	17137	72118
192	17230	72044
193	17321	71966
194	17409	71870
195	17496	71771
196	17580	71659
197	17664	71549
198	17753	71461
199	17838	71355
200	17927	71263
201	18016	71175
202	18102	71074
203	18188	70971
204	18272	70861
205	18359	70763
206	18444	70659
207	18532	70564
208	18617	70459
209	18701	70353
210	18791	70266
211	18877	70166
212	18963	70067
213	19050	69971
214	19134	69864
215	19220	69764
216	19308	69670
217	19393	69568
218	19480	69471
219	19567	69375
220	19653	69277
221	19741	69183
222	19833	69107
223	19920	69009
224	20009	68922
225	20094	68818
226	20181	68725
227	20265	68619
228	20363	68559
229	20450	68463
230	20537	68369
231	20624	68273
232	20710	68176
233	20799	68085
234	20886	67992
235	20970	67887
236	21055	67784
237	21142	67690
238	21227	67591
239	21312	67488
240	21399	67394
241	21487	67302
242	21573	67204
243	21658	67106
244	21746	67015
245	21835	66925
246	21924	66840
247	22012	66747
248	22098	66652
249	22190	66571
250	22277	66478
251	22366	66388
252	22452	66293
253	22536	66189
254	22622	66092
255	22709	65998
256	22797	65909
257	22884	65814
258	22972	65723
259	23058	65627
260	23144	65532
261	23233	65443
262	23319	65348
263	23405	65250
264	23490	65153
265	23573	65049
266	23659	64952
267	23747	64862
268	23832	64765
269	23915	64661
270	24002	64567
271	24086	64467
272	24169	64362
273	24259	64279
274	24347	64188
275	24433	64094
276	24521	64004
277	24607	63909
278	24691	63809
279	24779	63719
280	24865	63624
281	24952	63530
282	25041	63444
283	25127	63350
284	25216	63261
285	25304	63173
286	25393	63085
287	25480	62994
288	25572	62913
289	25658	62818
290	25744	62724
291	25836	62644
292	25926	62560
293	26014	62471
294	26106	62390
295	26195	62302
296	26282	62210
297	26371	62122
298	26460	62037
299	26548	61945
